y|x;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
11;1|3;1|3;1|3;1|3;1|3;1|3;1|2|3;1|2|3|4;1|2|3|4;1|2|3|4;1|2|3;1|2|3;1;1|3|4;1|2;1|2;1|2;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2;1|2;1;1;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|3|4
12;1;1;1;1|3;1|3;1|3;1|2|3;1|2|3;1|2|3;1|2|3|4;1|2|3|4;1|2|3|4;1;1|2|3|4;1|3|4;1|2;1|2;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|3|4;1|3|4;1|3|4;1|3|4;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|3|4
13;1;1;1;1|3;1|3;1|3;1|2|3;1;1;1|2|3;1|2|3|4;1|2|3;1;1|2|3;1|2|3;1|3|4;1|2;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|3|4;1|3|4;1|3|4;1|3|4;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|3|4
14;1;1;1;1|3;1|3;1|3;1|2|3;1;1;1;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|2;1|3|4;1|3|4;1|2|3;1|2|3;1|2|3|4;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|3|4;1|2|3|4;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|3|4
15;0;0;1;1|3;1|3;1|3;1|2|3;1;1;1;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|2;1|2;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|3|4;1|2|3;1|2|3|4;1|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|3|4
16;0;0;1;1|3;1|3;1|3;1|3;1;1;1;1|2|3;1|2|3|4;1|2|3;1|2|3;1|2|3;1|2;1|2;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|3|4;1|2|3;1|2|3;1|2|3|4;1|3;1|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|3|4
17;1;1;1;1|3;1|3;1|3;1|3;1;1;1;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|2;1|2;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3|4;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3|4;1|2|3|4;1|2|3|4;1|2|3|4;1|2|3|4;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|3|4
18;1;1;1;1|3;1|3;1|3;1|3;1;1;1;1|2|3;1;1|2|3;1|2|3;1|2|3;1|2;1|2;1|3|4;1|2|3;1|2|3;1|3|4;1|3|4;1|3|4;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3|4;1|3|4;1|2|3;1|2|3;1|2|3|4;1|2|3|4;1|2|3|4;1|2|3|4;1|2|3|4;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|3|4
19;1;1;1;1|3;1|3;1|3;1|2|3;1;1;1;1|2|3;1;1|2|3;1|2|3;1|2|3;1|2;1|2;1|3|4;1|2|3;1|2|3;1|3|4;1|2;1|2;1|2;1|2|3;1|2|3;1|2|3|4;1|2|3|4;1|3|4;1|2|3;1|2|3|4;1|2|3|4;1|2|3|4;1|2|3|4;1|2|3|4;1|2|3|4;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|3|4
20;1|3;1|3;1|3;1|3;1|3;1|3;1|2|3;1;1|2|3;1|2|3;1;1;1|2|3;1|2|3;1|2|3;1|2;1|2;1|3|4;1|2|3;1|2|3;1|3|4;1|2;1|2;1|2;1|2|3;1|2|3|4;1|2|3|4;1|2|3|4;1|3|4;1|2|3;1|2|3|4;1|2|3|4;1|2|3;1|2|3|4;1|2|3|4;1|2|3|4;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|3|4
21;1|3;1|3;1|3;1|3;1|3;1|3;1|2|3;1|2|3;1;1;1;1;1;1|2|3;1|2|3;1|2;1|2;1|3|4;1|2|3;1|2|3;1|3|4;1|2;1|2;1|2;1|2|3;1|2|3|4;1|2|3|4;1|2|3|4;1|3|4;1|3;1|3;1|3;1|2|3;1|3;1|3;1|3;1|2|3|4;1|2|3;1|2|3;1|2|3;1|3|4;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|3|4
22;1|3;1|3;1|3;1|3;1|3;1|3;1|2|3;1;1;1;1;1;1;1|2|3;1|2|3;1|2;1|2;1|3|4;1|2|3;1|2|3;1|3|4;1|2;1|2;1|2;1|2|3|4;1|2|3|4;1|2|3|4;1|2|3|4;1|3|4;1|3;1|3;1|3;1|3;1|2|3;1|3;1|3;1|2|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|3|4
23;1|3;1|3;1|3;1|3;1|3;1|3;1|2|3;1;1;1;1;1;1;1|2|3;1|2|3|4;1|2;1|2;1|3|4;1|2|3;1|2|3;1|3|4;1|3|4;1|3|4;1|3|4;1|3|4;1|3|4;1|3|4;1|3|4;1|3|4;1|3;1|3;1|3;1|2|3;1|3;1|2|3;1|3;1|2|3|4;1|2|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|3|4
24;1|3;1|3;1|3;1|3;1|3;1|2|3;1|2|3;1;1;1;1;1;1;1|2|3;1|2|3;1|2;1|2;1|3|4;1|2|3;1|2|3;1|3|4;1;1;1;1|3|4;1|2|3;1|2|3|4;1|3;1|2|3;1|3;1;1|2|3;1;1;1|2|3;1|3;1|3;1|2|3|4;1|2|3;1|2|3;1|2|3;1|2|3;1|2|3|4;1|3|4;1|2|3;1|2|3;1|2|3;1|3|4;1|2|3;1|3|4
